x     y
10.4892     17.3028
10.959     17.7749
11.3525     18.8448
12.2566     19.7413
11.7413     20.5113
11.158     21.6162
10.064     22.2667
10.2989     23.2112
11.0721     24.1632
12.2677     24.3846
12.2372     23.6188
11.3061     23.1618
11.4094     23.8567
12.0276     24.8287
11.5258     24.5299
12.12     23.8745
12.7944     24.4697
13.9486     24.5098
14.0705     25.4286
14.063     24.7933
14.9645     24.8492
15.29     23.9254
15.7436     22.74
16.6782     21.8204
17.1832     22.4366
17.8447     23.4455
17.3965     24.4465
17.6202     23.9143
17.0876     24.4581
15.9789     24.4916
16.1209     23.7108
17.0298     23.8334
17.9306     24.6034
19.0563     24.4045
19.9384     25.1332
20.3053     26.3161
20.177     27.6193
19.438     27.418
20.1169     27.1702
21.2739     27.2388
21.4176     28.1729
22.2987     28.043
22.0866     27.204
22.5433     26.1429
23.417     25.1822
22.7684     24.9369
22.8265     25.7571
22.7855     25.0896
23.2389     24.0482
24.3213     23.5536
24.22     22.567
25.1271     22.1784
25.8628     22.8862
26.9217     22.646
27.1597     23.5017
28.1809     23.7454
27.9093     23.1095
26.8809     22.8005
26.1286     23.5468
26.1087     22.8815
25.5278     23.4074
26.1557     23.1202
27.1157     22.4541
28.3749     22.315
29.7209     22.4444
30.8615     21.8472
30.7012     20.8756
29.7786     20.9172
30.0865     20.2168
31.13     20.0448
30.8205     20.6634
29.7754     20.83
30.2204     20.3762
30.1816     19.3009
30.7925     18.2355
31.2266     16.9662
32.0364     15.8749
33.1995     15.2091
34.5266     14.9074
35.4169     13.9771
36.0868     14.5329
36.5498     15.63
36.6193     16.9346
37.5487     17.1092
38.7653     17.4253
38.9097     16.6248
38.0826     16.0073
38.486     16.4554
38.5148     17.5417
37.9148     17.1846
38.6496     16.9434
38.1094     16.341
37.2152     15.5247
36.2857     15.9528
36.7568     15.5671
37.5728     16.1128
36.9402     16.56
35.9033     17.1637
35.0437     18.1553
35.3433     17.7473
36.2681     18.0678
36.3191     17.2676
35.3938     16.9675
35.6408     16.1056
34.9331     16.3328
34.6142     17.3478
33.9433     18.4411
32.9341     19.3269
31.7155     19.2898
31.0028     18.3858
30.1554     17.3655
29.0142     17.4148
29.4924     17.0418
28.8203     17.3617
27.8112     16.9463
27.4575     15.8651
27.527     16.4288
26.7707     16.0862
27.0798     16.7296
27.7328     16.1784
28.5069     15.2334
29.7007     15.0331
29.1575     14.91
29.7022     15.4708
30.2733     16.5163
30.8261     15.9944
30.069     15.8715
30.1524     16.7115
31.1174     16.8888
32.3801     17.0045
33.4444     16.3539
33.7713     17.0794
33.4292     18.1491
33.8083     19.3093
33.6137     18.8095
33.0973     19.4706
32.1879     19.1032
31.5412     18.1028
31.4345     16.8328
32.3238     16.2267
33.3814     15.4682
32.9748     15.7746
33.1709     16.7593
32.8635     16.2215
32.0356     15.4401
31.0006     15.7388
30.8398     14.9138
31.7252     14.7245
32.8909     14.2997
32.4175     13.7763
33.0766     13.1311
34.1351     13.3464
34.065     14.2608
34.1894     13.6344
34.8339     12.7009
35.977     12.2245
36.9305     12.8148
37.1156     13.9449
36.31     13.9521
35.2468     13.4472
35.5698     13.9345
36.5602     13.7656
36.1493     13.1265
35.7438     13.8172
35.6442     14.9896
35.6303     14.4378
35.6688     15.1957
36.0698     16.3075
36.9153     16.0599
36.4482     16.5501
36.3676     15.7737
35.7528     16.2519
34.882     17.0788
33.6528     17.269
34.0534     16.8505
33.3969     17.2255
32.2581     17.557
31.9587     16.7282
32.0059     17.3832
32.9098     17.2852
33.6138     16.4001
32.9531     16.4004
31.9994     15.8082
31.5629     16.5461
32.2241     16.3041
33.3177     16.5788
33.8283     15.739
34.4758     16.272
34.1648     17.2317
34.9253     17.9286
36.0767     17.8734
36.0404     18.699
36.971     18.9861
36.6301     19.7636
37.092     20.7696
36.9314     20.2161
37.2354     19.1592
37.8668     18.0273
38.4057     18.5338
39.4598     19.055
39.393     20.0737
39.4534     21.3525
40.3554     22.1123
39.8024     21.9653
39.9321     22.8052
40.8774     23.3593
42.0593     23.915
43.3176     23.7237
44.2345     22.8591
43.6603     22.2322
42.6682     21.5254
42.5214     20.3651
42.0815     20.8363
42.8147     21.3323
44.0015     21.469
44.0977     20.6205
44.561     19.4993
45.3447     19.8277
45.9016     20.8323
46.6813     21.8994
46.0416     22.537
44.8878     22.6841
43.9326     23.4837
42.7101     23.4828
41.5691     24.0748
42.1247     24.3854
41.7705     23.7157
40.8724     22.9629
39.7634     22.2289
38.7855     21.2638
38.9781     21.7296
39.9838     21.835
41.1097     22.3836
40.5729     22.3279
39.9354     21.4855
39.6925     22.1471
40.4851     22.0129
40.0222     21.3681
38.9282     21.0757
39.2761     20.3608
38.4944     19.8342
37.4132     20.1229
36.2008     19.8156
36.6946     20.0004
37.4457     20.8002
38.4591     20.513
38.9548     19.4877
39.3679     18.2364
40.185     17.1655
41.3095     17.212
42.6122     17.0603
42.3696     16.3534
41.9638     15.2327
42.358     14.0791
41.5501     13.6139
42.1785     13.7467
42.6622     12.889
43.6576     12.1636
44.1267     10.9891
43.4374     11.0142
42.8406     11.8911
42.7806     11.2508
42.5052     10.1299
42.1946     8.83914
41.2148     8.75689
40.0593     9.17871
39.9841     8.42891
39.3264     8.87798
38.6421     9.84782
39.2285     9.69627
39.7208     10.5406
39.9272     9.8802
40.9171     9.45863
40.5201     9.91849
40.3967     9.12902
41.2379     8.53375
41.5     7.3927
40.7154     6.65371
41.3245     6.04543
41.5524     6.78514
42.5673     6.94671
43.8434     6.90296
43.7126     6.12703
43.1388     5.08883
42.1922     4.17845
42.371     4.67781
43.028     5.57365
42.4663     6.40082
42.6347     5.80337
43.5231     5.16115
44.6619     4.52431
44.1522     4.62527
44.9251     4.65411
46.0191     5.09897
46.1509     6.16084
47.136     6.57001
47.0949     7.5738
46.1422     7.82345
46.4449     7.19664
47.0505     6.19137
46.801     6.684
47.6291     7.08999
46.9652     7.29907
46.3925     8.24364
45.5129     9.2023
45.9111     8.88095
45.1327     8.53154
44.8134     7.47417
45.6114     7.3879
44.9974     7.69762
44.0691     8.40518
44.2833     7.85699
43.6193     7.08421
42.4917     6.56688
41.8695     5.48436
41.9827     4.23689
41.0878     3.68339
40.8361     2.55724
40.9442     3.10492
40.1291     3.69315
39.6079     2.98004
40.3461     2.98174
39.679     3.21699
40.059     2.57015
41.1236     2.45088
42.0825     1.68727
41.7381     2.10199
42.2364     1.524
42.5729     2.25862
43.0158     1.62061
44.0325     1.7736
43.4407     1.67393
44.1236     1.30275
44.1611     2.10246
45.0814     2.6233
44.7385     3.48016
45.2204     3.03534
46.2903     2.63798
45.8722     1.96819
45.2759     2.56958
46.0165     2.68957
46.8692     2.00724
48.0067     2.18102
49.069     2.88869
49.7534     4.00764
49.4287     3.6169
49.8761     4.24837
50.8468     3.99648
50.6934     3.09931
50.8014     1.87097
51.0907     2.36967
50.4188     1.98959
50.6633     2.68109
50.1042     2.2198
50.2076     1.16886
50.0193     -0.0975555
50.4629     -1.31497
50.0412     -2.47209
49.4735     -3.69829
48.379     -3.84329
47.095     -4.10091
45.9345     -4.78045
46.2486     -5.63751
45.6844     -6.58764
46.2732     -6.37017
46.3354     -7.23091
45.4167     -7.59677
45.9444     -7.27897
45.528     -6.4395
45.6096     -5.24299
44.7043     -4.70504
43.4959     -4.26695
42.5734     -3.33429
41.6783     -2.28611
41.2003     -2.86225
41.9829     -3.01524
42.3376     -4.00436
42.3112     -3.40242
41.4211     -2.8668
40.6232     -1.88971
41.2993     -1.60281
40.6204     -1.2403
40.7887     -1.97571
41.2922     -3.05074
41.3874     -4.3491
40.4809     -4.87476
40.0827     -5.9879
39.2919     -7.03405
39.4867     -6.55889
38.9256     -5.6955
38.2164     -6.1927
37.2712     -5.73682
36.0342     -5.78238
34.8733     -6.37079
34.9915     -7.36301
35.1446     -8.62968
34.9771     -8.13475
35.6532     -8.56408
34.9647     -8.93882
35.4479     -9.68092
35.6508     -8.9864
34.7793     -8.67221
35.1139     -7.86165
35.5441     -6.70416
36.4595     -6.85959
35.8641     -7.19062
34.8907     -7.83793
33.6366     -7.89628
32.9463     -7.01311
31.8828     -6.2778
30.7725     -5.46909
30.8285     -6.04055
29.9215     -6.05187
30.5597     -5.99045
31.2982     -5.18733
32.3451     -4.42193
32.8422     -3.2357
32.7025     -1.94831
31.7132     -1.52958
31.6729     -2.28727
31.1805     -3.35197
30.0782     -3.79923
29.7786     -3.00796
28.8388     -2.31608
28.4793     -3.02713
29.2908     -3.41072
29.0429     -2.75107
28.3823     -3.27603
28.432     -2.54768
29.3912     -2.32123
29.2117     -3.04549
29.1215     -4.22924
28.5583     -3.84624
27.4555     -3.49162
27.7009     -2.65707
26.8424     -2.30893
25.8192     -2.78076
24.6452     -2.4963
24.9159     -3.07272
25.9216     -3.49061
25.5782     -2.9754
26.4015     -2.90114
25.7369     -2.79204
24.5821     -2.88973
24.2291     -1.98003
24.4145     -2.56958
24.1078     -3.63392
23.0784     -4.15957
22.7483     -3.39207
23.5807     -3.16352
23.6737     -4.01193
24.2055     -5.09352
25.15     -4.90608
25.4096     -5.78479
26.3733     -6.42352
26.9386     -7.54708
26.9408     -6.99738
27.8149     -6.45901
27.2288     -6.62446
27.6652     -5.9798
28.4996     -6.40857
29.6647     -6.87119
30.9953     -6.99304
32.1756     -7.6219
33.5111     -7.79247
34.8868     -7.69807
36.269     -7.85581
37.4063     -8.56505
38.6875     -8.52765
39.013     -7.57786
39.443     -6.37497
38.8485     -5.3871
39.1659     -5.84716
40.2021     -6.15301
41.1401     -6.98825
40.7121     -7.84996
40.5273     -9.07906
41.0697     -10.2127
42.1914     -10.53
43.3564     -10.1228
44.5038     -10.5463
45.0141     -9.75329
45.6536     -8.67129
46.5488     -7.65976
46.2023     -8.01028
46.8814     -8.63458
46.7068     -7.98938
45.7112     -7.67284
45.7017     -8.45333
44.7628     -8.82851
43.5534     -8.66131
43.9781     -8.15441
43.5004     -8.69634
44.209     -8.50854
44.4731     -7.50354
43.6183     -7.16783
42.7976     -7.83174
42.323     -7.13192
41.4721     -6.25916
41.2355     -5.02661
41.6636     -5.41066
40.8653     -5.48169
40.3629     -4.59265
40.9872     -3.7845
41.1438     -2.57372
40.3458     -2.5778
39.1499     -2.42377
39.4583     -1.74871
39.6502     -0.585101
40.2645     -0.962779
41.3462     -1.43481
42.6377     -1.44275
43.8865     -0.977161
45.239     -0.710909
46.2473     0.138213
46.117     -0.398096
45.8774     -1.49906
45.9257     -2.80012
46.8837     -3.27456
46.3794     -3.89149
45.759     -4.92437
46.475     -5.46167
47.3244     -4.92248
48.5455     -4.83852
49.8238     -5.17056
49.3074     -5.30078
48.9974     -4.41151
49.4897     -3.38433
49.9489     -3.93739
50.2724     -5.04903
50.6589     -6.32026
50.1976     -6.00869
50.1283     -4.96581
49.3759     -5.21565
48.5161     -6.01866
47.7315     -7.08691
48.0633     -6.71026
49.0697     -6.29081
49.8834     -6.96351
50.5433     -6.32874
49.8351     -5.95102
49.9957     -6.68047
50.5032     -6.09732
51.0305     -5.03081
51.3507     -3.74362
50.5219     -3.43224
50.0367     -2.40911
49.6078     -2.97224
48.8352     -3.8617
48.6724     -5.09623
47.7125     -5.24552
47.5125     -6.23043
47.7331     -5.66074
48.749     -5.44209
48.4289     -4.69466
47.3994     -4.63846
47.0217     -5.5619
46.9644     -6.81003
46.2809     -7.89498
45.4945     -9.01621
44.331     -9.11351
43.2583     -8.49804
42.4231     -9.10577
41.2515     -9.00665
41.2246     -8.10377
42.0555     -8.2313
41.7239     -8.99394
41.3103     -10.1409
41.1124     -11.4641
40.5847     -11.0832
40.3789     -11.8985
39.4848     -11.7149
38.4061     -12.1824
37.7392     -11.4469
36.5829     -11.0729
35.5097     -10.3034
34.4934     -9.37217
35.0948     -8.99163
35.142     -9.79505
36.0332     -10.4127
35.9218     -11.4683
36.7001     -11.3469
36.573     -10.4465
37.4106     -9.80777
38.4035     -8.97885
38.4414     -9.59863
37.5122     -9.76066
38.1339     -9.66869
38.6892     -10.5143
38.732     -11.7282
39.5961     -12.541
40.7846     -12.5325
40.2777     -12.259
39.7978     -13.0579
39.7847     -12.3929
40.5815     -11.6742
39.917     -11.2802
40.02     -10.2636
40.1015     -10.8664
41.0175     -10.7527
41.9164     -9.98238
42.6081     -8.86818
